round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
103,0.5906,2.254166,0.0143,,3240.1638,0.5
104,0.5925,2.253839,0.0146,,3271.6217,0.5
105,0.5963,2.253379,0.0156,,3303.0796,0.5
106,0.5982,2.25304,0.0163,,3334.5375,0.5
107,0.6005,2.252669,0.017,,3365.9954,0.5
108,0.6054,2.25217,0.0178,,3397.4533,0.5
109,0.6112,2.251662,0.0184,,3428.9112,0.5
110,0.6141,2.251197,0.0193,,3460.3691,0.5
111,0.616,2.250849,0.0205,,3491.827,0.5
112,0.6187,2.250424,0.0216,,3523.2849,0.5
113,0.6238,2.24977,0.0225,,3554.7428,0.5
114,0.6267,2.249267,0.0232,,3586.2007,0.5
115,0.6295,2.248872,0.0235,,3617.6586,0.5
116,0.6319,2.248441,0.0242,,3649.1165,0.5
117,0.6347,2.248047,0.0248,,3680.5744,0.5
118,0.6381,2.24768,0.0257,,3712.0323,0.5
119,0.6392,2.24719,0.0264,,3743.4902,0.5
120,0.6414,2.24672,0.0272,,3774.9481,0.5
121,0.6438,2.246238,0.0285,,3806.406,0.5
122,0.6465,2.245748,0.0293,,3837.8639,0.5
123,0.6481,2.245228,0.0298,,3869.3218,0.5
124,0.6514,2.244619,0.0305,,3900.7797,0.5
125,0.6522,2.244193,0.0313,,3932.2376,0.5
126,0.6551,2.243765,0.0322,,3963.6955,0.5
127,0.6549,2.243382,0.0328,,3995.1534,0.5
128,0.6577,2.242898,0.034,,4026.6113,0.5
129,0.6597,2.242287,0.0354,,4058.0692,0.5
130,0.6625,2.241908,0.0359,,4089.5271,0.5
131,0.6647,2.241444,0.036,,4120.985,0.5
132,0.6672,2.240877,0.0367,,4152.4429,0.5
133,0.6683,2.240352,0.0379,,4183.9008,0.5
134,0.6711,2.239693,0.0395,,4215.3587,0.5
135,0.6715,2.23927,0.0401,,4246.8166,0.5
136,0.6725,2.238766,0.0413,,4278.2745,0.5
137,0.6752,2.238165,0.0421,,4309.7324,0.5
138,0.6769,2.237762,0.0429,,4341.1903,0.5
139,0.6811,2.237075,0.0446,,4372.6482,0.5
140,0.6834,2.236419,0.046,,4404.1061,0.5
141,0.6857,2.235952,0.0467,,4435.564,0.5
142,0.6861,2.235298,0.0484,,4467.0219,0.5
143,0.6898,2.234554,0.0496,,4498.4798,0.5
144,0.6912,2.233799,0.0508,,4529.9377,0.5
145,0.693,2.233219,0.0515,,4561.3956,0.5
146,0.6959,2.23241,0.053,,4592.8535,0.5
147,0.6983,2.231677,0.0537,,4624.3114,0.5
148,0.7008,2.231063,0.0543,,4655.7693,0.5
149,0.7053,2.230234,0.0553,,4687.2272,0.5
150,0.7069,2.229518,0.0561,,4718.6852,0.5
151,0.7094,2.228731,0.0566,,4750.1431,0.5
152,0.7102,2.228062,0.0577,,4781.601,0.5
153,0.7129,2.227124,0.059,,4813.0589,0.5
154,0.715,2.22635,0.0596,,4844.5168,0.5
155,0.7181,2.22562,0.0605,,4875.9747,0.5
156,0.7214,2.224859,0.061,,4907.4326,0.5
157,0.7261,2.223849,0.0618,,4938.8905,0.5
158,0.7284,2.223058,0.0622,,4970.3484,0.5
159,0.7316,2.222329,0.0631,,5001.8063,0.5
160,0.7338,2.221383,0.0635,,5033.2642,0.5
161,0.7353,2.220658,0.0647,,5064.7221,0.5
162,0.7368,2.219916,0.0655,,5096.18,0.5
163,0.7381,2.21916,0.0661,,5127.6379,0.5
164,0.7396,2.21839,0.0664,,5159.0958,0.5
